id,name
1,algorithm
2,"Hidden Markov model"
3,"Mixture model"
4,"Biological neuron model"
5,Algorithm
6,"Feature learning"
7,"Artificial neural network"
8,"Random sample consensus"
9,"Types of artificial neural networks"
10,"Matrix (mathematics)"
11,"Image segmentation"
12,"Data model"
